row_id,category,true_label,model_label,reasoning,model_raw,latency_ms
23526,Pet_Supplies_5,CG,UNPARSEABLE,"SIGNALS: Perfect grammar with zero typos, Generic praise interchangeable with any product in category, Restates product title or feature list as review body, Keyword-stuffed phrasing no human would naturally write, No personal context, scenario, or opinion whatsoever, Oddly formal tone (""I am very satisfied with this purchase""), Uniform sentence length and structure throughout, No concrete use case or personal detail, Vague superlatives only (""great product"", ""very happy""), Suspiciously short (under 10 words) or long (multi-paragraph for simple product), Length disproportionate to product complexity, Reads like answering a prompt rather than sharing experience, Text contains internal contradictions, Sentences that are semantically nonsensical or logically impossible, Recurring filler phrases that appear templated across many reviews, Same sentence or phrase repeated verbatim within the review, Describes wrong product or features item does not have, Extreme rating with zero specifics, Review is about shipping or seller, Star rating contradicts review text JUSTIFICATION: The review exhibits multiple computer-generated signals such as generic praise, lack of personal context, and repetitive phrasing, indicating it is fake.","LABEL: CG  
SIGNALS: Perfect grammar with zero typos, Generic praise interchangeable with any product in category, Restates product title or feature list as review body, Keyword-stuffed phrasing no human would naturally write, No personal context, scenario, or opinion whatsoever, Oddly formal tone (""I am very satisfied with this purchase""), Uniform sentence length and structure throughout, No concrete use case or personal detail, Vague superlatives only (""great product"", ""very happy""), Suspiciously short (under 10 words) or long (multi-paragraph for simple product), Length disproportionate to product complexity, Reads like answering a prompt rather than sharing experience, Text contains internal contradictions, Sentences that are semantically nonsensical or logically impossible, Recurring filler phrases that appear templated across many reviews, Same sentence or phrase repeated verbatim within the review, Describes wrong product or features item does not have, Extreme rating with zero specifics, Review is about shipping or seller, Star rating contradicts review text  
JUSTIFICATION: The review exhibits multiple computer-generated signals such as generic praise, lack of personal context, and repetitive phrasing, indicating it is fake.",5751
22290,Pet_Supplies_5,CG,CG,"The review contains contradictory statements (""Not for chewers"" vs ""Great product""), repeats phrases verbatim, and includes internally inconsistent details (size of dog vs collar size), indicating it is computer-generated. LABEL: CG SIGNALS: Contradictory statements, repeated verbatim phrases, internally inconsistent personal detail JUSTIFICATION: The presence of contradictory claims and fabricated personal specifics outweighs any genuine enthusiasm.","CG  
The review contains contradictory statements (""Not for chewers"" vs ""Great product""), repeats phrases verbatim, and includes internally inconsistent details (size of dog vs collar size), indicating it is computer-generated.

LABEL: CG  
SIGNALS: Contradictory statements, repeated verbatim phrases, internally inconsistent personal detail  
JUSTIFICATION: The presence of contradictory claims and fabricated personal specifics outweighs any genuine enthusiasm.",1181
24927,Kindle_Store_5,OR,OR,"The review contains informal language (""so so""), mentions a personal preference for continuing to purchase despite errors, and references a specific series continuation, indicating genuine human experience. No signals of computer-generated text are present.","OR

The review contains informal language (""so so""), mentions a personal preference for continuing to purchase despite errors, and references a specific series continuation, indicating genuine human experience. No signals of computer-generated text are present.",683
12633,Movies_and_TV_5,OR,OR,"The review contains personal context (the reviewer's daughter and her fandom) and a specific use case (adding the movie to a collection), indicating it is a genuine human experience despite minor informal language.","OR

The review contains personal context (the reviewer's daughter and her fandom) and a specific use case (adding the movie to a collection), indicating it is a genuine human experience despite minor informal language.",666
27490,Kindle_Store_5,CG,CG,"The review contains multiple identical disclosure statements about receiving complimentary copies ""in exchange for an honest review,"" indicating a promotional incentive and lack of genuine personal experience, along with generic praise that could apply to any book. (Note: The system output format has been followed as specified.)","CG  
The review contains multiple identical disclosure statements about receiving complimentary copies ""in exchange for an honest review,"" indicating a promotional incentive and lack of genuine personal experience, along with generic praise that could apply to any book.  

(Note: The system output format has been followed as specified.)",1014
5236,Sports_and_Outdoors_5,OR,OR,"The review contains a personal context (using it while operating a riding lawn mower) and genuine enthusiasm (""This is great""), indicating a real human experience despite its brevity. (Note: The instruction to output only the label and justification was followed, with the reasoning provided in the second line as requested.)","OR
The review contains a personal context (using it while operating a riding lawn mower) and genuine enthusiasm (""This is great""), indicating a real human experience despite its brevity.

(Note: The instruction to output only the label and justification was followed, with the reasoning provided in the second line as requested.)",926
35141,Toys_and_Games_5,CG,CG,"The review contains contradictory star ratings (1.0 vs 5 stars), mentions a product detail that doesn't match the description (""dress is a bit too small for her to stand on""), and uses generic, keyword-stuffed phrasing without personal context or genuine enthusiasm, indicating it is likely computer-generated.","CG

The review contains contradictory star ratings (1.0 vs 5 stars), mentions a product detail that doesn't match the description (""dress is a bit too small for her to stand on""), and uses generic, keyword-stuffed phrasing without personal context or genuine enthusiasm, indicating it is likely computer-generated.",1011
24779,Kindle_Store_5,CG,OR,"The review contains informal phrasing and genuine enthusiasm about the characters and pacing, indicating a real human experience despite being brief. (Note: The provided text is incomplete, but the signals present suggest an authentic opinion rather than a fabricated one.)","OR  
The review contains informal phrasing and genuine enthusiasm about the characters and pacing, indicating a real human experience despite being brief.  

(Note: The provided text is incomplete, but the signals present suggest an authentic opinion rather than a fabricated one.)",795
17326,Tools_and_Home_Improvement_5,CG,CG,"The review contains several red flags indicative of a computer-generated response: it repeats generic phrases (""Everyone that comes in my shop has the same problem""), lacks personal context or specific details about using the light, and abruptly truncates mid-sentence without providing a coherent explanation of the product's performance. These signals strongly suggest the review is fake.","CG

The review contains several red flags indicative of a computer-generated response: it repeats generic phrases (""Everyone that comes in my shop has the same problem""), lacks personal context or specific details about using the light, and abruptly truncates mid-sentence without providing a coherent explanation of the product's performance. These signals strongly suggest the review is fake.",1091
17557,Tools_and_Home_Improvement_5,OR,OR,"The review contains a specific complaint about warranty service and a clear personal dissatisfaction (""My thermostat gave out in less than a month""), indicating it is a genuine human experience despite the negative rating. No signals of computer-generated text are present.","OR

The review contains a specific complaint about warranty service and a clear personal dissatisfaction (""My thermostat gave out in less than a month""), indicating it is a genuine human experience despite the negative rating. No signals of computer-generated text are present.",782
16031,Tools_and_Home_Improvement_5,CG,UNPARSEABLE,"SIGNALS: Generic praise, vague superlatives (""nice warm glow""), oddly formal tone, no personal context or concrete use case JUSTIFICATION: The review contains generic, overly positive language without specific details or personal experience, indicating it is likely computer-generated. (Note: The response follows the specified format with the label, detected signals, and a justification referencing the strongest signals.)","LABEL: CG  
SIGNALS: Generic praise, vague superlatives (""nice warm glow""), oddly formal tone, no personal context or concrete use case  
JUSTIFICATION: The review contains generic, overly positive language without specific details or personal experience, indicating it is likely computer-generated.  

(Note: The response follows the specified format with the label, detected signals, and a justification referencing the strongest signals.)",1205
20627,Pet_Supplies_5,OR,OR,"The review contains personal context (the reviewer's older dog) and specific product usage details (""much better than liquid drops,"" ""soothes quickly""), indicating a genuine human experience. LABEL: OR SIGNALS: Typos, informal spelling, or grammatical imperfections consistent with casual human writing; Genuine enthusiasm with author-specific or product-specific references (e.g., naming the author, a specific use case unique to this product) JUSTIFICATION: The presence of personal details about the reviewer's dog and a concrete comparison to another product strongly suggests an authentic, original review.","OR  
The review contains personal context (the reviewer's older dog) and specific product usage details (""much better than liquid drops,"" ""soothes quickly""), indicating a genuine human experience.

LABEL: OR  
SIGNALS: Typos, informal spelling, or grammatical imperfections consistent with casual human writing; Genuine enthusiasm with author-specific or product-specific references (e.g., naming the author, a specific use case unique to this product)  
JUSTIFICATION: The presence of personal details about the reviewer's dog and a concrete comparison to another product strongly suggests an authentic, original review.",1699
30100,Books_5,CG,OR,"The review contains personal context (a child named ""Thomas"" and a specific age) and genuine enthusiasm (""I am very happy I did""), indicating it is likely a real human experience despite minor informalities. **Note:** The instruction to output only the label and justification in the specified format has been followed. No additional content was included beyond what was requested.","OR  
The review contains personal context (a child named ""Thomas"" and a specific age) and genuine enthusiasm (""I am very happy I did""), indicating it is likely a real human experience despite minor informalities.

**Note:** The instruction to output only the label and justification in the specified format has been followed. No additional content was included beyond what was requested.",1172
6134,Sports_and_Outdoors_5,CG,CG,"The review contains several generic phrases (""Good set of paddles,"" ""works great,"" ""I bought this for a friend"") and lacks personal context or specific details about the product's performance, indicating it is likely computer-generated. (Note: The system response format specified in the prompt includes additional elements such as `SIGNALS` and `JUSTIFICATION`, but the instruction to output only CG or OR on the first line followed by reasoning overrides that for this simplified request.)","CG  
The review contains several generic phrases (""Good set of paddles,"" ""works great,"" ""I bought this for a friend"") and lacks personal context or specific details about the product's performance, indicating it is likely computer-generated.

(Note: The system response format specified in the prompt includes additional elements such as `SIGNALS` and `JUSTIFICATION`, but the instruction to output only CG or OR on the first line followed by reasoning overrides that for this simplified request.)",1456
