row_id,category,true_label,model_label,reasoning,model_raw,latency_ms
23526,Pet_Supplies_5,CG,CG,"The review contains numerous generic statements, contradictory claims (e.g., linking fish oil to preventing choking), templated filler phrases (""I have tried it on my cats""), and a disjointed structure that suggests computer-generated content rather than a coherent human experience.","CG
The review contains numerous generic statements, contradictory claims (e.g., linking fish oil to preventing choking), templated filler phrases (""I have tried it on my cats""), and a disjointed structure that suggests computer-generated content rather than a coherent human experience.",9249
22290,Pet_Supplies_5,CG,CG,"The review contains contradictory statements (""Not for strong chewers"" vs ""Great product""), nonsensical claim (""I am a small dog""), and repeated generic phrases, indicating it is likely computer-generated.","CG
The review contains contradictory statements (""Not for strong chewers"" vs ""Great product""), nonsensical claim (""I am a small dog""), and repeated generic phrases, indicating it is likely computer-generated.",2220
24927,Kindle_Store_5,OR,OR,"The review contains a personal opinion (""writing is so so""), mentions a specific series context (""third book in the series""), and includes a concrete reason for continued purchase, indicating a genuine human experience rather than generic marketing language.","OR
The review contains a personal opinion (""writing is so so""), mentions a specific series context (""third book in the series""), and includes a concrete reason for continued purchase, indicating a genuine human experience rather than generic marketing language.",2234
12633,Movies_and_TV_5,OR,OR,"The review includes a personal detail (daughter being a Chris Hemsworth fan) and specific context about adding the movie to a collection, indicating a genuine human experience.","OR
The review includes a personal detail (daughter being a Chris Hemsworth fan) and specific context about adding the movie to a collection, indicating a genuine human experience.",1827
27490,Kindle_Store_5,CG,CG,The review contains multiple identical incentivized disclosures and generic praise that reads like templated marketing language rather than a genuine personal experience.,"CG
The review contains multiple identical incentivized disclosures and generic praise that reads like templated marketing language rather than a genuine personal experience.",2042
5236,Sports_and_Outdoors_5,OR,OR,"The review includes a specific personal use case (using the product while operating a riding lawn mower to reduce hearing damage), which indicates a genuine human experience rather than generic marketing language.","OR
The review includes a specific personal use case (using the product while operating a riding lawn mower to reduce hearing damage), which indicates a genuine human experience rather than generic marketing language.",1930
35141,Toys_and_Games_5,CG,OR,"The review contains typos and informal phrasing typical of genuine human writing (e.g., ""flimsy"", ""not easy to put together""), indicating a real customer experience despite an inconsistent rating.","OR
The review contains typos and informal phrasing typical of genuine human writing (e.g., ""flimsy"", ""not easy to put together""), indicating a real customer experience despite an inconsistent rating.",2370
24779,Kindle_Store_5,CG,CG,"The review is truncated mid-sentence and consists only of generic praise that could apply to any book (""interesting action,"" ""quick read,"" ""depth of characters""), indicating it was likely generated rather than written by a human with a specific experience.","CG
The review is truncated mid-sentence and consists only of generic praise that could apply to any book (""interesting action,"" ""quick read,"" ""depth of characters""), indicating it was likely generated rather than written by a human with a specific experience.",2496
17326,Tools_and_Home_Improvement_5,CG,CG,"The review contains a nonsensical statement (""I need to turn the light on every time I turn it on"") and abruptly truncates mid-sentence, indicating generated or incoherent text rather than a genuine human experience.","CG
The review contains a nonsensical statement (""I need to turn the light on every time I turn it on"") and abruptly truncates mid-sentence, indicating generated or incoherent text rather than a genuine human experience.",2617
17557,Tools_and_Home_Improvement_5,OR,OR,"The review contains a specific complaint about warranty failure and a personal purchasing experience, indicating a genuine user issue rather than generic marketing language.","OR
The review contains a specific complaint about warranty failure and a personal purchasing experience, indicating a genuine user issue rather than generic marketing language.",1688
16031,Tools_and_Home_Improvement_5,CG,CG,"The review is unusually short, ends abruptly mid-sentence (""like""), and uses generic descriptive phrasing without personal context or specific details, indicating it may be a generated or placeholder comment.","CG
The review is unusually short, ends abruptly mid-sentence (""like""), and uses generic descriptive phrasing without personal context or specific details, indicating it may be a generated or placeholder comment.",2089
20627,Pet_Supplies_5,OR,OR,"The review includes a specific personal detail (an older dog needing eye care) and mentions a direct comparison to another product, indicating a genuine human experience rather than generic marketing language.","OR
The review includes a specific personal detail (an older dog needing eye care) and mentions a direct comparison to another product, indicating a genuine human experience rather than generic marketing language.",2008
30100,Books_5,CG,OR,"The review includes a personal detail (the reviewer's 3‑year‑old son named Thomas) and informal phrasing (""I am very happy I did""), indicating a genuine human experience despite an incomplete final sentence likely due to truncation.","OR
The review includes a personal detail (the reviewer's 3‑year‑old son named Thomas) and informal phrasing (""I am very happy I did""), indicating a genuine human experience despite an incomplete final sentence likely due to truncation.",2700
6134,Sports_and_Outdoors_5,CG,OR,"The review includes specific usage details (swimming pool floor), personal connection (""I bought this for a friend""), and a mention of the friend's positive experience, indicating a genuine human perspective despite minor grammatical issues.","OR
The review includes specific usage details (swimming pool floor), personal connection (""I bought this for a friend""), and a mention of the friend's positive experience, indicating a genuine human perspective despite minor grammatical issues.",2469
410,Home_and_Kitchen_5,CG,CG,"SIGNALS: Suspiciously short (under 10 words) or long (multi-paragraph for simple product), Text truncates mid-sentence with no closing thought, suggesting a token generation limit JUSTIFICATION: The review is abruptly cut off and extremely brief, indicating it may be an incomplete or generated entry rather than a full human experience.","CG
SIGNALS: Suspiciously short (under 10 words) or long (multi-paragraph for simple product), Text truncates mid-sentence with no closing thought, suggesting a token generation limit  
JUSTIFICATION: The review is abruptly cut off and extremely brief, indicating it may be an incomplete or generated entry rather than a full human experience.",3390
